                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.39853,                0.97756,                0.38151,                0.71434,                0.49467,                0.56846,                0.32579,                0.40143,                 1.0429,                0.44015,                 0.0001,                 0.0001,                 0.0001
                     57,                0.39146,                 0.9712,                0.36676,                0.72677,                0.49467,                0.57275,                0.32717,                0.40632,                 1.0341,                0.44008,                 0.0001,                 0.0001,                 0.0001
                     58,                0.39719,                0.96778,                0.37615,                0.73138,                0.49499,                0.57745,                0.32827,                0.40758,                 1.0285,                0.43944,                 0.0001,                 0.0001,                 0.0001
                     59,                0.39773,                0.95093,                0.37762,                0.73818,                 0.4959,                0.58081,                0.33051,                0.40904,                 1.0224,                0.44466,                 0.0001,                 0.0001,                 0.0001
                     60,                0.39797,                0.97859,                0.37111,                0.73396,                0.50188,                0.58401,                0.33085,                0.40497,                 1.0304,                0.44634,                 0.0001,                 0.0001,                 0.0001
                     61,                0.39499,                0.96426,                0.36593,                0.74591,                0.49947,                0.58326,                0.33054,                0.40247,                 1.0347,                0.43936,                 0.0001,                 0.0001,                 0.0001
                     62,                0.38714,                0.97037,                0.36658,                0.75626,                0.51583,                0.58607,                0.33076,                0.40187,                 1.0382,                0.43708,                 0.0001,                 0.0001,                 0.0001
                     63,                0.38125,                0.96907,                0.36349,                0.76041,                0.51483,                0.58928,                0.33446,                0.40302,                 1.0289,                0.43946,                 0.0001,                 0.0001,                 0.0001
                     64,                 0.3785,                0.98115,                0.36686,                0.76394,                0.52815,                0.59235,                0.33738,                0.40289,                 1.0279,                0.43466,                 0.0001,                 0.0001,                 0.0001
                     65,                0.38514,                0.94962,                0.36743,                0.74919,                0.53061,                0.58904,                0.33515,                0.40233,                 1.0308,                0.43911,                 0.0001,                 0.0001,                 0.0001
                     66,                0.39195,                0.97162,                0.37769,                0.76309,                0.52723,                0.59237,                0.33758,                0.40323,                 1.0256,                0.43981,                 0.0001,                 0.0001,                 0.0001
                     67,                0.38825,                0.94831,                0.37165,                0.77305,                0.51478,                0.59611,                0.34208,                0.40307,                 1.0243,                0.43421,                 0.0001,                 0.0001,                 0.0001
                     68,                0.37865,                0.96723,                0.36702,                0.78552,                0.52514,                 0.5951,                 0.3415,                0.40373,                 1.0198,                0.43551,                 0.0001,                 0.0001,                 0.0001
                     69,                0.38197,                0.93335,                0.36649,                0.76353,                0.52639,                0.59309,                0.33971,                0.40713,                 1.0081,                0.44236,                 0.0001,                 0.0001,                 0.0001
                     70,                 0.3826,                0.93309,                0.36639,                0.75337,                0.52901,                0.59603,                0.34169,                0.40687,                 1.0001,                0.44267,                 0.0001,                 0.0001,                 0.0001
                     71,                0.37719,                0.95893,                0.36151,                0.59872,                0.53078,                0.60055,                0.34516,                0.40656,                 1.0027,                0.44226,                 0.0001,                 0.0001,                 0.0001
                     72,                0.38898,                0.93777,                0.36411,                0.61989,                0.53256,                0.60297,                0.34911,                0.41056,                0.99048,                0.44749,                 0.0001,                 0.0001,                 0.0001
                     73,                0.38052,                0.93826,                0.36552,                0.62229,                0.54024,                0.60445,                0.34758,                0.41118,                0.98413,                0.45219,                 0.0001,                 0.0001,                 0.0001
                     74,                0.37283,                0.94657,                0.35077,                0.62018,                0.54495,                0.60797,                0.34877,                0.40973,                 0.9879,                0.44795,                 0.0001,                 0.0001,                 0.0001
                     75,                 0.3796,                0.93284,                0.35694,                0.76788,                0.54641,                0.61497,                0.35103,                0.41117,                0.98334,                0.44664,                 0.0001,                 0.0001,                 0.0001
                     76,                0.38002,                0.92748,                0.36349,                0.76322,                0.54692,                0.61848,                0.35244,                0.41105,                 0.9822,                0.44763,                 0.0001,                 0.0001,                 0.0001
                     77,                0.37805,                0.91838,                0.35983,                0.77961,                0.54769,                0.61953,                0.35349,                0.41149,                0.98229,                0.44847,                 0.0001,                 0.0001,                 0.0001
                     78,                0.38076,                0.90101,                0.36754,                0.76433,                0.55693,                0.62818,                0.35976,                0.41228,                0.97539,                 0.4516,                 0.0001,                 0.0001,                 0.0001
                     79,                0.37719,                0.92294,                0.35522,                0.75673,                 0.5541,                0.63081,                 0.3614,                0.41132,                 0.9718,                0.45276,                 0.0001,                 0.0001,                 0.0001
                     80,                0.36812,                0.92206,                0.34797,                0.76023,                0.55137,                0.63027,                 0.3629,                0.41439,                0.95873,                0.45799,                 0.0001,                 0.0001,                 0.0001
                     81,                0.37952,                0.90088,                0.35757,                0.72344,                0.56144,                 0.6308,                0.36279,                0.41478,                0.95663,                0.45804,                 0.0001,                 0.0001,                 0.0001
                     82,                0.37183,                 0.8803,                0.35448,                0.72692,                0.55278,                0.63192,                0.36335,                0.41254,                0.96099,                0.45668,                 0.0001,                 0.0001,                 0.0001
                     83,                0.37647,                0.89788,                0.36477,                0.73706,                0.55519,                0.63574,                0.36563,                0.41203,                 0.9601,                0.45649,                 0.0001,                 0.0001,                 0.0001
                     84,                0.36614,                 0.9103,                0.34571,                0.73542,                0.56028,                0.63748,                 0.3667,                0.41168,                0.96026,                0.45724,                 0.0001,                 0.0001,                 0.0001
                     85,                0.37622,                  0.895,                0.35198,                0.71542,                0.56504,                0.63588,                0.36614,                0.41357,                0.95853,                0.45231,                 0.0001,                 0.0001,                 0.0001
                     86,                0.37374,                0.87713,                0.35342,                0.70196,                0.54743,                0.62989,                0.36155,                0.41074,                0.96801,                0.44844,                 0.0001,                 0.0001,                 0.0001
                     87,                0.37136,                0.89348,                0.35735,                 0.6816,                0.55779,                0.63249,                 0.3646,                0.40659,                0.98171,                0.43862,                 0.0001,                 0.0001,                 0.0001
                     88,                0.37077,                0.90143,                0.34548,                 0.7474,                 0.5607,                0.63616,                0.36665,                0.40404,                 0.9845,                0.43665,                 0.0001,                 0.0001,                 0.0001
                     89,                0.37697,                0.88236,                0.35397,                0.73879,                 0.5678,                 0.6366,                0.36664,                0.40587,                0.97934,                0.44029,                 0.0001,                 0.0001,                 0.0001
                     90,                0.37222,                0.89567,                0.35514,                0.74231,                0.57431,                0.64061,                0.36957,                0.40492,                0.98021,                 0.4385,                 0.0001,                 0.0001,                 0.0001
                     91,                0.37266,                 0.8952,                0.35687,                0.74346,                0.57721,                0.64109,                0.36975,                0.40507,                0.98152,                0.43653,                 0.0001,                 0.0001,                 0.0001
                     92,                0.37242,                0.90828,                0.36068,                0.76495,                0.57065,                0.64215,                0.36963,                0.40763,                0.96866,                0.44634,                 0.0001,                 0.0001,                 0.0001
                     93,                0.37783,                0.87672,                0.35963,                0.75483,                0.56955,                0.63949,                0.36674,                0.40805,                0.97289,                 0.4471,                 0.0001,                 0.0001,                 0.0001
                     94,                0.36776,                 0.8771,                 0.3456,                0.74718,                0.57084,                0.63888,                0.36578,                0.41103,                0.96838,                0.45143,                 0.0001,                 0.0001,                 0.0001
                     95,                0.36565,                0.87801,                0.35151,                0.76532,                0.55972,                0.64096,                0.36923,                0.41218,                0.96115,                0.45146,                 0.0001,                 0.0001,                 0.0001
                     96,                0.37293,                0.86282,                0.35959,                0.75547,                0.55871,                0.64136,                0.36959,                0.41322,                0.95782,                 0.4536,                 0.0001,                 0.0001,                 0.0001
                     97,                0.36716,                0.86788,                0.35229,                0.73447,                0.56639,                0.64164,                0.36937,                0.41443,                0.95371,                0.45715,                 0.0001,                 0.0001,                 0.0001
